Country,Numero_gruppi
us,46471
gb,5926
ca,3742
au,2847
de,2081
es,1696
fr,1496
in,1161
jp,910
nl,839
sg,659
ch,581
ie,537
nz,512
hk,453
ae,388
it,337
kr,306
br,294
be,262
se,255
cn,225
za,207
pl,192
il,191
th,187
at,187
mx,186
my,155
pt,144
dk,134
tw,120
cz,107
no,103
sa,103
hu,101
tr,100
co,100
ar,78
fi,73
ru,70
ph,68
id,66
ro,64
lu,55
cl,44
ng,42
vn,42
gr,40
qa,35
pe,35
ua,32
ke,31
hr,22
bg,21
ee,20
rs,20
eg,18
si,15
pk,15
ec,15
kw,13
lk,13
lt,13
lb,12
cr,11
pa,10
mt,10
uy,9
sk,8
dz,7
gh,7
np,7
bh,6
ma,6
lv,6
cm,6
cy,5
bd,5
om,5
mo,5
ve,4
is,4
ug,4
bo,4
ci,3
tn,3
ky,3
ps,3
jm,3
jo,3
al,3
tg,3
gt,3
by,3
mm,3
mg,3
bm,2
iq,2
zw,2
md,2
py,2
tz,2
ge,2
et,2
cu,2
gp,2
mc,2
mz,2
kz,2
ir,1
rw,1
mq,1
li,1
ht,1
sn,1
do,1
bj,1
sy,1
bw,1
bn,1
td,1
ba,1
zm,1
mw,1
kh,1
im,1
gn,1
mu,1
az,1
gy,1
bs,1
gi,1
re,1
